case_id,ticker,name,exchange,case_layer,category,industry,sector,chain,style,risk,allowed_in_research,allowed_in_paper,allowed_in_real_trade
EXP_017,603993,洛阳钼业,SSE,EXPANSION,,,,,,,TRUE,FALSE,FALSE
EXP_018,600547,山东黄金,SSE,EXPANSION,,,,,,,TRUE,FALSE,FALSE
EXP_019,000975,山金国际,SZSE,EXPANSION,,,,,,,TRUE,FALSE,FALSE
EXP_020,000807,云铝股份,SZSE,EXPANSION,,,,,,,TRUE,FALSE,FALSE
EXP_021,600111,北方稀土,SSE,EXPANSION,,,,,,,TRUE,FALSE,FALSE
EXP_022,002466,天齐锂业,SZSE,EXPANSION,,,,,,,TRUE,FALSE,FALSE
EXP_023,002460,赣锋锂业,SZSE,EXPANSION,,,,,,,TRUE,FALSE,FALSE
EXP_024,600489,中金黄金,SSE,EXPANSION,,,,,,,TRUE,FALSE,FALSE
EXP_025,601012,隆基绿能,SSE,EXPANSION,,,,,,,TRUE,FALSE,FALSE
EXP_026,002129,TCL中环,SZSE,EXPANSION,,,,,,,TRUE,FALSE,FALSE
EXP_027,688223,晶科能源,SSE,EXPANSION,,,,,,,TRUE,FALSE,FALSE
EXP_028,603806,福斯特,SSE,EXPANSION,,,,,,,TRUE,FALSE,FALSE
EXP_029,688599,天合光能,SSE,EXPANSION,,,,,,,TRUE,FALSE,FALSE
EXP_030,002812,恩捷股份,SZSE,EXPANSION,,,,,,,TRUE,FALSE,FALSE
EXP_031,002747,埃斯顿,SZSE,EXPANSION,,,,,,,TRUE,FALSE,FALSE
EXP_032,603960,克来机电,SSE,EXPANSION,,,,,,,TRUE,FALSE,FALSE
EXP_033,002472,双环传动,SZSE,EXPANSION,,,,,,,TRUE,FALSE,FALSE
EXP_034,000988,华工科技,SZSE,EXPANSION,,,,,,,TRUE,FALSE,FALSE
EXP_035,002008,大族激光,SZSE,EXPANSION,,,,,,,TRUE,FALSE,FALSE
EXP_036,300024,机器人,SZSE,EXPANSION,,,,,,,TRUE,FALSE,FALSE
EXP_037,688017,绿的谐波,SSE,EXPANSION,,,,,,,TRUE,FALSE,FALSE
EXP_038,603728,鸣志电器,SSE,EXPANSION,,,,,,,TRUE,FALSE,FALSE
EXP_039,601688,华泰证券,SSE,EXPANSION,,,,,,,TRUE,FALSE,FALSE
EXP_040,600837,海通证券,SSE,EXPANSION,,,,,,,TRUE,FALSE,FALSE
EXP_041,601788,光大证券,SSE,EXPANSION,,,,,,,TRUE,FALSE,FALSE
EXP_042,000776,广发证券,SZSE,EXPANSION,,,,,,,TRUE,FALSE,FALSE
EXP_043,601166,兴业银行,SSE,EXPANSION,,,,,,,TRUE,FALSE,FALSE
EXP_044,601601,中国太保,SSE,EXPANSION,,,,,,,TRUE,FALSE,FALSE
EXP_045,600031,三一重工,SSE,EXPANSION,,,,,,,TRUE,FALSE,FALSE
EXP_046,000425,徐工机械,SZSE,EXPANSION,,,,,,,TRUE,FALSE,FALSE
EXP_047,000625,长安汽车,SZSE,EXPANSION,,,,,,,TRUE,FALSE,FALSE
EXP_048,600741,华域汽车,SSE,EXPANSION,,,,,,,TRUE,FALSE,FALSE
EXP_049,002475,立讯精密,SZSE,EXPANSION,,,,,,,TRUE,FALSE,FALSE
EXP_050,002415,海康威视,SZSE,EXPANSION,,,,,,,TRUE,FALSE,FALSE
EXP_051,002241,歌尔股份,SZSE,EXPANSION,,,,,,,TRUE,FALSE,FALSE
EXP_052,601600,中国铝业,SSE,EXPANSION,,,,,,,TRUE,FALSE,FALSE
EXP_053,600585,海螺水泥,SSE,EXPANSION,,,,,,,TRUE,FALSE,FALSE
EXP_054,000002,万科A,SZSE,EXPANSION,,,,,,,TRUE,FALSE,FALSE
EXP_055,000338,潍柴动力,SZSE,EXPANSION,,,,,,,TRUE,FALSE,FALSE
EXP_056,002352,顺丰控股,SZSE,EXPANSION,,,,,,,TRUE,FALSE,FALSE
EXP_057,601888,中国中免,SSE,EXPANSION,,,,,,,TRUE,FALSE,FALSE
EXP_058,300059,东方财富,SZSE,EXPANSION,,,,,,,TRUE,FALSE,FALSE
EXP_059,000001,平安银行,SZSE,EXPANSION,,,,,,,TRUE,FALSE,FALSE
FAIL_001,,,,FAILURE,,,,,,,TRUE,FALSE,FALSE
FAIL_002,,,,FAILURE,,,,,,,TRUE,FALSE,FALSE
FAIL_003,,,,FAILURE,,,,,,,TRUE,FALSE,FALSE
FAIL_004,,,,FAILURE,,,,,,,TRUE,FALSE,FALSE
FAIL_005,,,,FAILURE,,,,,,,TRUE,FALSE,FALSE
FAIL_006,,,,FAILURE,,,,,,,TRUE,FALSE,FALSE
FAIL_007,,,,FAILURE,,,,,,,TRUE,FALSE,FALSE
FAIL_008,,,,FAILURE,,,,,,,TRUE,FALSE,FALSE
FAIL_009,,,,FAILURE,,,,,,,TRUE,FALSE,FALSE
FAIL_010,,,,FAILURE,,,,,,,TRUE,FALSE,FALSE
FAIL_011,,,,FAILURE,,,,,,,TRUE,FALSE,FALSE
FAIL_012,,,,FAILURE,,,,,,,TRUE,FALSE,FALSE
FAIL_013,,,,FAILURE,,,,,,,TRUE,FALSE,FALSE
FAIL_014,,,,FAILURE,,,,,,,TRUE,FALSE,FALSE
FAIL_015,,,,FAILURE,,,,,,,TRUE,FALSE,FALSE
FAIL_016,,,,FAILURE,,,,,,,TRUE,FALSE,FALSE
FAIL_017,,,,FAILURE,,,,,,,TRUE,FALSE,FALSE
FAIL_018,,,,FAILURE,,,,,,,TRUE,FALSE,FALSE
FAIL_019,,,,FAILURE,,,,,,,TRUE,FALSE,FALSE
FAIL_020,,,,FAILURE,,,,,,,TRUE,FALSE,FALSE
FAIL_021,,,,FAILURE,,,,,,,TRUE,FALSE,FALSE
FAIL_022,,,,FAILURE,,,,,,,TRUE,FALSE,FALSE
FAIL_023,,,,FAILURE,,,,,,,TRUE,FALSE,FALSE
FAIL_024,,,,FAILURE,,,,,,,TRUE,FALSE,FALSE
FAIL_025,,,,FAILURE,,,,,,,TRUE,FALSE,FALSE
FAIL_026,,,,FAILURE,,,,,,,TRUE,FALSE,FALSE
FAIL_027,,,,FAILURE,,,,,,,TRUE,FALSE,FALSE
FAIL_028,,,,FAILURE,,,,,,,TRUE,FALSE,FALSE
FAIL_029,,,,FAILURE,,,,,,,TRUE,FALSE,FALSE
FAIL_030,,,,FAILURE,,,,,,,TRUE,FALSE,FALSE
FAIL_031,,,,FAILURE,,,,,,,TRUE,FALSE,FALSE
FAIL_032,,,,FAILURE,,,,,,,TRUE,FALSE,FALSE
FAIL_033,,,,FAILURE,,,,,,,TRUE,FALSE,FALSE
FAIL_034,,,,FAILURE,,,,,,,TRUE,FALSE,FALSE
FAIL_035,,,,FAILURE,,,,,,,TRUE,FALSE,FALSE
FAIL_036,,,,FAILURE,,,,,,,TRUE,FALSE,FALSE
FAIL_037,,,,FAILURE,,,,,,,TRUE,FALSE,FALSE
FAIL_038,,,,FAILURE,,,,,,,TRUE,FALSE,FALSE
FAIL_039,,,,FAILURE,,,,,,,TRUE,FALSE,FALSE
FAIL_040,,,,FAILURE,,,,,,,TRUE,FALSE,FALSE
EXP_060,600585,海螺水泥,SSE,EXPANSION,,,,,,,TRUE,FALSE,FALSE
